Alimentos,Categoria
Doce de leite light,Açúcares e produtos de confeitaria 
Doce de leite diet,Açúcares e produtos de confeitaria 
Barra de cereais diet,Açúcares e produtos de confeitaria 
Barra de cereais doce diet,Açúcares e produtos de confeitaria 
Milk shake diet,Açúcares e produtos de confeitaria 
Cocada diet,Açúcares e produtos de confeitaria 
Doce de amendoim diet,Açúcares e produtos de confeitaria 
Paçoca diet,Açúcares e produtos de confeitaria 
Amendoim amanteigado diet,Açúcares e produtos de confeitaria 
Doce à base de leite diet,Açúcares e produtos de confeitaria 
Gelatina de qualquer sabor light,Açúcares e produtos de confeitaria 
Adoçante light,Açúcares e produtos de confeitaria 
Adoçante em pó light,Açúcares e produtos de confeitaria 
Adoçante liquido light,Açúcares e produtos de confeitaria 
Mostarda molho,Sais e condimentos
Hortelã,Sais e condimentos
Alcaparra em conserva,Sais e condimentos
Coentro,Sais e condimentos
Molho de soja,Sais e condimentos
Shoyo,Sais e condimentos
Leite de coco,Sais e condimentos
Maionese (molho),Sais e condimentos
Massa de tomate,Sais e condimentos
Molho de tomate,Sais e condimentos
Ketchup,Sais e condimentos
Catchup,Sais e condimentos
Pimenta em pó,Sais e condimentos
Tucupi em caldo sem pimenta,Sais e condimentos
Creme de queijo,Sais e condimentos
Caldo de peixe,Sais e condimentos
Caldo de tomate,Sais e condimentos
Gergelim,Sais e condimentos
Tomate seco,Sais e condimentos
Maionese (molho) light,Sais e condimentos
Molho de soja light,Sais e condimentos
Leite de coco light,Sais e condimentos
Vinagrete,Sais e condimentos
Filé-mignon,Carnes e vísceras
Contrafilé,Carnes e vísceras
Bisteca bovina,Carnes e vísceras
Alcatra,Carnes e vísceras
Alcatra ,Carnes e vísceras
Maminha,Carnes e vísceras
Picanha,Carnes e vísceras
Picanha ,Carnes e vísceras
Patinho,Carnes e vísceras
Cabeça de lombo (carne bovina),Carnes e vísceras
Posta branca,Carnes e vísceras
Tatu (lagarto redondo),Carnes e vísceras
Paulista,Carnes e vísceras
Lombo paulista (carne bovina),Carnes e vísceras
Posta vermelha,Carnes e vísceras
Acém,Carnes e vísceras
Agulha (acém),Carnes e vísceras
Paleta ,Carnes e vísceras
Pá com osso,Carnes e vísceras
Músculo bovino,Carnes e vísceras
Chambaril,Carnes e vísceras
Carne marica bovina,Carnes e vísceras
Vazio (carne bovina),Carnes e vísceras
Peito bovino,Carnes e vísceras
Fraldinha (capa de filé),Carnes e vísceras
Aba de filé ,Carnes e vísceras
Costela bovina,Carnes e vísceras
Jacaré (carne bovina de segunda c/ osso),Carnes e vísceras
Filé de segunda,Carnes e vísceras
Víscera bovina ,Carnes e vísceras
Panelada (vísceras bovinas não especificadas),Carnes e vísceras
Coração bovino,Carnes e vísceras
Rim de boi ,Carnes e vísceras
Bofe bovino,Carnes e vísceras
Miolo de boi,Carnes e vísceras
Tripa bovina,Carnes e vísceras
Dobradinha fresca,Carnes e vísceras
Fato bovino,Carnes e vísceras
Fato caprino,Carnes e vísceras
Fígado bovino,Carnes e vísceras
Cupim,Carnes e vísceras
Língua bovina,Carnes e vísceras
Rabada de boi,Carnes e vísceras
Mocotó bovino,Carnes e vísceras
Braço bovino,Carnes e vísceras
Mão bovina,Carnes e vísceras
Carré ,Carnes e vísceras
Bisteca suína,Carnes e vísceras
Pernil suíno,Carnes e vísceras
Quarto suíno,Carnes e vísceras
Costela suína,Carnes e vísceras
Lombo suíno,Carnes e vísceras
Toucinho,Carnes e vísceras
Míudo suíno,Carnes e vísceras
Arrasto suíno,Carnes e vísceras
Sarapatel suíno fresco,Carnes e vísceras
Carne suína,Carnes e vísceras
Carne moída ,Carnes e vísceras
Carne moída,Carnes e vísceras
Guisado ,Carnes e vísceras
